t,Close,High,Low,n,Open,Volume,vw
2024-08-14,117.97,118.59,114.09,20327,118.51,2530749,116.698614
2024-08-15,122.9,123.23,117.5,21649,118.945,2329110,121.559086
2024-08-16,124.55,125.0,121.18,21553,121.92,1968614,123.698576
2024-08-19,130.0,130.0,123.44,20240,124.3,2133443,126.9316
2024-08-20,127.26,129.86,125.89,22219,128.4,2296913,127.926477
2024-08-21,128.4,129.34,126.66,20253,127.33,2040350,128.108697
2024-08-22,123.84,130.74,123.1,27468,130.04,2853378,126.314316
2024-08-23,129.28,129.59,125.245,21687,125.86,2104926,127.996388
2024-08-26,126.45,131.25,124.4,26866,129.56,2670055,127.399358
2024-08-27,128.27,129.19,123.905,24934,125.06,2696916,127.519987
2024-08-28,125.57,128.3,122.66,35341,128.08,3785691,125.592325
2024-08-29,117.6,124.4,116.76,36658,121.0,4192572,120.615091
2024-08-30,119.46,121.74,117.23,27936,119.52,2693047,119.199607
2024-09-03,108.01,116.205,107.295,30308,116.04,3292811,110.267419
2024-09-04,106.16,109.99,104.12,43735,105.38,5285953,106.997233
2024-09-05,107.17,109.64,104.805,28136,104.995,2732510,107.512173
2024-09-06,102.87,108.105,100.96,39523,108.095,4585344,103.355019
2024-09-09,106.51,106.54,103.71,23486,104.93,2537551,105.40271
2024-09-10,108.0,109.385,104.96,24005,107.92,2399601,107.061687
2024-09-11,116.84,117.16,107.43,38986,109.39,4687625,112.33391
2024-09-12,119.22,120.79,115.4,35234,116.86,3550116,118.979673
2024-09-13,119.08,119.93,117.61,23760,118.96,2252263,118.989215
2024-09-16,116.74,118.175,114.37,20457,116.79,2027423,116.481923
2024-09-17,115.59,118.795,114.85,23423,118.19,2491009,116.602354
2024-09-18,113.29,117.7,113.24,27367,115.91,2965736,115.068783
2024-09-19,117.9,119.66,117.26,32362,117.29,3147187,118.711401
2024-09-20,116.04,118.6,115.41,30316,117.02,3739522,116.51843
2024-09-23,116.23,116.98,114.87,20756,116.47,1939328,115.974365
2024-09-24,120.83,121.8,115.385,32209,116.42,3567423,119.541475
2024-09-25,123.49,124.93,121.61,26275,122.02,3117195,123.628356
2024-09-26,124.0,127.66,121.8,25802,126.76,2475022,124.709938
2024-09-27,121.35,123.985,119.26,29972,123.93,3743504,120.980802
2024-09-30,121.5,121.5,118.15,24250,118.31,2330437,120.347375
2024-10-01,116.89,122.38,115.79,29572,121.765,3213379,117.932808
2024-10-02,118.83,119.38,115.15,18259,116.41,1977137,118.241695
2024-10-03,122.82,124.36,120.35,26868,120.92,2992060,122.718757
2024-10-04,124.89,125.0,121.91,27158,124.93,2877588,124.111678
2024-10-07,127.775,130.62,125.02,41279,125.03,5406297,128.550629
2024-10-08,132.94,133.48,129.43,37795,130.32,4435837,131.903887
2024-10-09,132.61,134.52,131.39,30114,134.135,3131226,132.756826
2024-10-10,134.81,135.0,131.32,30234,131.9,2911690,133.974199
2024-10-11,134.77,135.77,133.67,19437,134.03,1839529,134.843622
2024-10-14,138.18,139.6,136.32,30044,136.47,3134138,138.496228
2024-10-15,131.77,138.565,128.76,40813,137.81,4726217,132.333779
2024-10-16,135.72,136.62,131.585,39538,133.955,4444476,134.522029
2024-10-17,136.92,140.88,136.875,33987,139.35,3748774,138.991228
2024-10-18,137.98,138.82,137.28,20336,138.79,2037775,138.040699
2024-10-21,143.68,143.68,138.03,29045,138.14,3175273,141.555645
2024-10-22,143.57,144.41,141.81,26316,142.92,2694622,143.347381
2024-10-23,139.56,142.41,137.485,30461,142.02,2908927,139.642047
2024-10-24,140.4,141.35,138.47,16223,140.86,1669064,139.95363
2024-10-25,141.5,144.125,140.85,20089,140.91,1803783,142.658977
2024-10-28,140.57,143.13,140.055,20026,143.05,1877353,141.117377
2024-10-29,141.3,142.25,138.915,19982,140.285,1945298,140.953221
2024-10-30,139.34,140.31,136.81,24602,139.54,2472975,139.343643
2024-10-31,132.81,137.575,132.12,30924,137.575,2875649,133.694182
2024-11-01,135.4,137.3,134.6,24961,134.69,2662071,135.979964
