ticker,date,prior_close,open_price,gap_pct,day_close,day_high,day_low
OKLO,2024-05-24 04:00:00+00:00,7.62,8.005,0.050524934383202186,10.13,10.16,7.85
OKLO,2024-05-28 04:00:00+00:00,10.13,11.92,0.17670286278381037,10.775,12.31,10.405
OKLO,2024-07-26 04:00:00+00:00,8.405,8.88,0.056513979773944255,9.21,9.3,8.88
OKLO,2024-09-19 04:00:00+00:00,6.23,6.645,0.06661316211877996,6.61,6.775,6.45
OKLO,2024-09-20 04:00:00+00:00,6.61,7.125,0.07791225416036303,8.4,8.44,7.045
OKLO,2024-10-03 04:00:00+00:00,9.5,10.13,0.06631578947368429,9.415,10.13,9.24
OKLO,2024-10-16 04:00:00+00:00,11.66,12.735,0.0921955403087478,16.56,16.72,12.32
OKLO,2024-10-21 04:00:00+00:00,18.22,19.275,0.05790340285400657,22.31,22.92,18.56
OKLO,2024-10-28 04:00:00+00:00,19.09,20.07,0.05133577789418546,24.47,25.36,19.83
OKLO,2024-10-30 04:00:00+00:00,24.83,26.31,0.05960531614981879,22.9,28.1,22.65
OKLO,2024-11-01 04:00:00+00:00,22.46,23.63,0.05209260908281381,21.77,24.72,21.32
OKLO,2024-11-13 05:00:00+00:00,22.62,25.47,0.1259946949602121,23.15,25.65,22.44
OKLO,2024-11-18 05:00:00+00:00,17.995,19.505,0.0839121978327312,20.635,22.13,17.91
OKLO,2024-12-18 05:00:00+00:00,19.11,21.34,0.11669283097854528,18.35,22.94,18.06
OKLO,2024-12-24 05:00:00+00:00,19.73,21.845,0.10719716168271659,23.65,23.99,21.45
OKLO,2025-01-14 05:00:00+00:00,22.88,24.04,0.05069930069930071,22.8,24.26,22.39
OKLO,2025-01-15 05:00:00+00:00,22.8,24.06,0.05526315789473675,24.22,26.46,23.9
OKLO,2025-01-21 05:00:00+00:00,26.07,27.64,0.06022247794399694,31.27,31.48,26.955
OKLO,2025-01-22 05:00:00+00:00,31.27,32.91,0.05244643428205939,34.16,34.94,32.03
OKLO,2025-01-28 05:00:00+00:00,31.11,33.095,0.06380585020893602,34.115,34.15,30.05
OKLO,2025-02-26 05:00:00+00:00,32.06,34.63,0.0801621958827199,35.18,36.48,33.58
OKLO,2025-02-27 05:00:00+00:00,35.18,38.345,0.08996588971006252,32.39,38.61,32.32
OKLO,2025-03-12 04:00:00+00:00,25.455,27.475,0.07935572579061101,26.19,28.0,25.19
OKLO,2025-03-14 04:00:00+00:00,23.915,25.305,0.05812251724858878,27.72,27.825,24.89
OKLO,2025-03-24 04:00:00+00:00,27.15,28.83,0.06187845303867403,30.93,31.35,28.6
OKLO,2025-04-01 04:00:00+00:00,21.68,22.79,0.0511992619926199,22.52,24.01,21.815
OKLO,2025-04-08 04:00:00+00:00,21.935,23.94,0.09140642808297254,20.255,23.94,19.93
OKLO,2025-04-14 04:00:00+00:00,22.48,23.975,0.06650355871886125,22.53,24.37,22.36
OKLO,2025-05-12 04:00:00+00:00,28.11,29.8,0.06012095339736753,28.83,30.24,28.16
OKLO,2025-05-14 04:00:00+00:00,32.035,34.19,0.06727017324801003,37.045,39.28,34.19
OKLO,2025-05-23 04:00:00+00:00,39.72,44.74,0.12638469284994974,49.02,52.03,43.8
OKLO,2025-06-03 04:00:00+00:00,52.45,56.07,0.06901811248808384,49.76,58.67,49.33
OKLO,2025-06-16 04:00:00+00:00,63.645,67.01,0.05287139602482523,65.47,73.495,64.88
OKLO,2025-06-27 04:00:00+00:00,55.84,59.35,0.0628581661891117,55.21,62.1,54.07
